act,section_id,text_content
IPC_1860,1,"[s 1] Title and extent of operation of the Code. This Act shall be called the Indian Penal Code, and shall 3.[extend to the whole of India 4.[except the State of Jammu and Kashmir].] COMMENT— Before 1860, the English criminal law, as modiﬁed by several Acts,5. was administered in the Presidency towns of Bombay, Calcutta and Madras. But in the mofussil, the Courts were principally guided by the Mohammedan criminal law, the glaring defects of which were partly removed by Regulations of the local Governments. In 1827, the judicial system of Bombay was thoroughly revised and from that time the law which the criminal Courts administered was set forth in a Regulation6. deﬁning offences and specifying punishments. But in the Bengal and Madras Presidencies the Mohammedan criminal law was in force till the Indian Penal Code came into operation. [s 1.1] Trial of offences under IPC, 1860.— All offences under IPC, 1860 shall be investigated, inquired into, tried and otherwise dealt with according to the provisions of the Code of Criminal Procedure, 1973 (Cr PC, 1973).7. [s 1.2] Overlapping Offences.— 1.  MC Verghese v Ponnan, AIR 1970 SC 1876 [LNIND 1968 SC 339] : (1969) 1 SCC 37 [LNIND 1968 S"
IPC_1860,2,"[s 2] Punishment of offences committed within India. Every person 1 shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within 11.[India] 12.[***]. 2 COMMENT— This section deals with the intraterritorial operation of the Code. It makes the Code universal in its application to every person in any part of India for every act or omission contrary to the provisions of the Code. Section 2 read with section 4 of the IPC, 1860 makes the provisions of the Code applicable to the offences committed ""in any place without and beyond"" the territory of India; (1) by a citizen of India or (2) on any ship or aircraft registered in India, irrespective of its location, by any person not necessarily a citizen. Such a declaration was made as long back as in 1898. By an amendment in 2009 to the said section, the Code is extended to any person in any place ""without and beyond the territory of India"", committing an offence targeting a computer resource located in India.13. 1. 'Every person'.—Every person is made liable to punishment, without distinction of nation, rank, caste or creed, provided the offen"
IPC_1860,3,"[s 3] Punishment of offences committed beyond, but which by law may be tried within India. Any person liable, by any 36.[Indian law], to be tried for an offence committed beyond 37.[India] shall be dealt with according to the provisions of this Code for any act committed beyond India in the same manner as if such act had been committed within 38.[India]. COMMENT— This section and section 4 relate to the extraterritorial operation of the Code. The words of this section postulate the existence of a law that an act constituting an offence in India shall also be an offence when committed outside India. Thus, taking part in a marriage which is prohibited by the Child Marriage Restraint Act, 1929 by a citizen of India beyond India is not an offence which can be punished in India.39. This section only applies to the case of a person who at the time of committing the offence charged was amenable to an Indian Court.40. Thus, an Indian citizen who committed an offence outside India which was not an offence according to the laws of that country would still be liable to be tried in India if it was an offence under the Indian law.41. An Indian citizen was murdered by another Indian citizen in a"
IPC_1860,4,"[s 4] Extension of Code to extraterritorial offences. The provisions of this Code apply also to any offence committed by— 46.[(1) any citizen of India in any place without and beyond India; (2) any person on any ship or aircraft registered in India wherever it may be;] 47.[(3) any person in any place without and beyond India committing offence targeting a computer resource located in India.] 48.[Explanation.—In this section— (a) the word ""offence"" includes every act committed outside India which, if committed in India, would be punishable under this Code; (b) the expression ""computer resource"" shall have the meaning assigned to it in clause ( k ) of sub-section (1) of section 2 of the Information Technology Act, 2000 (21 of 2000).] 49.[ILLUSTRATION] 50.[***] A, 51.[who is a 52.[citizen of India]], commits a murder in Uganda. He can be tried and convicted of murder in any place in 53.[India] in which he may be found. 54.[***] COMMENT— This section shows the extent to which the Code applies to offences committed outside India. The Code applies to any offence committed by— (1) any citizen of India in any place, wherever he may be; (2) any person on any ship or aircraft registered in I"
IPC_1860,5,"[s 5] Certain laws not to be affected by this Act. Nothing in this Act shall affect the provisions of any Act for punishing mutiny and desertion of oﬃcers, soldiers, sailors or airmen in the service of the Government of India or the provisions of any special or local law 1 .] COMMENT— This section is a saving clause to section 2. Though the Code was intended to be a general one, it was not thought desirable to make it exhaustive, and hence, offences deﬁned by local and special laws were left out of the Code, and merely declared to be punishable as theretofore.78. Thus, the personnel of the Army, Navy and Airforce are governed by the provisions of the Army Act, 1950, The Navy Act, 1957, and The Indian Air Force Act, 1950 in regard to offences of mutiny and desertion committed by them.79. 1. 'Special or local law'.—A special law is a law relating to a particular subject;80. whereas a local law is a law which applies only to a particular part of the country.81. The distinction between a statute creating a new offence with a particular penalty and a statute enlarging the ambit of an existing offence by including new acts within it with a particular penalty is well settled. In the forme"
IPC_1860,6,"[s 6] Deﬁnitions in the Code to be understood subject to exceptions. Throughout this Code every deﬁnition of an offence, every penal provision, and every illustration of every such deﬁnition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled ""General Exceptions"", though those exceptions are not repeated in such deﬁnition, penal provision, or illustration. ILLUSTRATION (a) The sections, in this Code, which contain deﬁnitions of offences, do not express that a child under seven years of age cannot commit such offences, but the deﬁnitions are to be understood subject to the general exception which provides that nothing shall be an offence which is done by a child under seven years of age. (b) A, a police-oﬃcer, without warrant, apprehends Z, who has committed murder. Here A is not guilty of the offence of wrongful conﬁnement; for he was bound by law to apprehend Z and therefore the case falls within the general exception which provides that ""nothing is an offence which is done by a person who is bound by law to do it"". COMMENT— The ""general exceptions"" enacted by Indian Penal Code, 1860 (IPC, 1860) are of universal application and for t"
IPC_1860,7,"[s 7] Sense of expression once explained. Every expression which is explained in any part of this Code is used in every part of this Code in conformity with the explanation. 6.  RS Nayak v AR Antulay, (1984) 2 SCC 183 [LNIND 1984 SC 43] : AIR 1984 SC 684 [LNIND 1984 SC 43] . COMMENT— Section 7 of IPC, 1860 provides that 'every expression' which is explained in any part of the Code, is used in every part of the Code in conformity with the explanation. Let it be noted that unlike the modern statute, section 7 does not provide 'unless the context otherwise indicate' a phrase that prefaces the dictionary clauses of a modern statute. Therefore, the expression 'Government' in section 21(12)(a) must mean either the Central Government or the Government of a State.6. THE INDIAN PENAL CODE CHAPTER II GENERAL EXPLANATIONS THIS Chapter is for the most part an elaborate interpretation clause. It is a key to the interpretation of the whole Code. The leading terms used are here deﬁned and explained and the meanings thus, announced are steadily adhered to throughout the subsequent chapters."
IPC_1860,8,"[s 8] Gender. The pronoun ""he"" and its derivatives are used of any person, whether male or female. 7.  Vijaya (Dr.) v Kashirao Rajaram Sawai, 1987 Cr LJ 977 : AIR 1987 SC 1100 [LNIND 1987 SC 200] ; M Areefa Beevi v Dr. K M Sahib, 1983 Cr LJ 412 (Ker) : See also Girdhar Gopal v State, 1953 Cr LJ 964 (MB) (Section 354 IPC, 1860). COMMENT— Section 8 of the Indian Penal Code lays down that the pronoun 'he' and its derivatives are used for any person whether male or female. Thus, in view of section 8, IPC, 1860 read with section 2(y), Code of Criminal Procedure, 1973 (Cr PC, 1973) the pronoun 'his' in clause (d) of section 125(1), Cr PC, 1973 also indicates a female.7. THE INDIAN PENAL CODE CHAPTER II GENERAL EXPLANATIONS THIS Chapter is for the most part an elaborate interpretation clause. It is a key to the interpretation of the whole Code. The leading terms used are here deﬁned and explained and the meanings thus, announced are steadily adhered to throughout the subsequent chapters."
IPC_1860,9,"[s 9] Number. Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number. THE INDIAN PENAL CODE CHAPTER II GENERAL EXPLANATIONS THIS Chapter is for the most part an elaborate interpretation clause. It is a key to the interpretation of the whole Code. The leading terms used are here deﬁned and explained and the meanings thus, announced are steadily adhered to throughout the subsequent chapters."
IPC_1860,10,"[s 10] ""Man"" ""Woman"". The word ""man"" denotes a male human being of any age; the word ""woman"" denotes a female human being of any age. 8.  State of Punjab v Major Singh, AIR 1967 SC 63 [LNIND 1966 SC 130] : 1967 Cr LJ 1 . COMMENT— A female child of seven and a half months was held to be a ""woman"" for the purpose of section 354 IPC, 1860.8. THE INDIAN PENAL CODE CHAPTER II GENERAL EXPLANATIONS THIS Chapter is for the most part an elaborate interpretation clause. It is a key to the interpretation of the whole Code. The leading terms used are here deﬁned and explained and the meanings thus, announced are steadily adhered to throughout the subsequent chapters."
IPC_1860,11,"[s 11] ""Person"". The word ""person"" includes any Company or Association or body of persons, whether incorporated or not. COMMENT— The term 'person' has been deﬁned in section 11, IPC, 1860, and the same is in pari materia with section 3(42) of the General Clauses Act 1897. Obviously, the deﬁnition is inclusive.9. A natural person, an incorporated person or even an unincorporated association or body of persons like a partnership can be a person under section 11 of IPC, 1860.10. The Supreme Court has held in Standard Chartered Bank v Directorate of Enforcement,11. that, as regards corporate criminal liability, there is no doubt that a corporation or company could be prosecuted for any offence punishable under law, whether it is coming under the strict liability or under absolute liability. A juristic person has been held to come within the meaning of the word ""person"" for the purposes of section 415 (cheating).12. The State and its instrumentalities are juristic persons,13. but by implication, the State stands excluded from the purview of the word 'person' for the purpose of limiting its right to avail the revisional power of the High Court under section 397(1) of Cr PC, 1973 for the "
IPC_1860,12,"[s 12] ""Public."". The word ""public"" includes any class of the public, or any community. 19.  Harnandan Lal v Rampalak Mahto, (1938) 18 Pat 76. COMMENT— This deﬁnition is inclusive and does not deﬁne the word 'public'. It only says that any class of public or any community is included within the term 'public'. A body or class of persons living in a particular locality may come within the term 'public'.19. THE INDIAN PENAL CODE CHAPTER II GENERAL EXPLANATIONS THIS Chapter is for the most part an elaborate interpretation clause. It is a key to the interpretation of the whole Code. The leading terms used are here deﬁned and explained and the meanings thus, announced are steadily adhered to throughout the subsequent chapters."
IPC_1860,13,"[s 13] [Repealed] [Deﬁnition of ""Queen"".] [Rep. by the A.O. 1950.] THE INDIAN PENAL CODE CHAPTER II GENERAL EXPLANATIONS THIS Chapter is for the most part an elaborate interpretation clause. It is a key to the interpretation of the whole Code. The leading terms used are here deﬁned and explained and the meanings thus, announced are steadily adhered to throughout the subsequent chapters. 20.["
